"Year","Domain","Measure","FIPS","County","State","Value"
"2020","Health Care Access and Quality","Percent current on preventive services (65+)","10003","New Castle","DE","39.85"
"2020","Health Care Access and Quality","Percent current on preventive services (65+)","10005","Sussex","DE","45.8"
"2020","Health Care Access and Quality","Percent current on preventive services (65+)","11001","District Of Columbia","DC","44.15"
"2020","Health Care Access and Quality","Percent current on preventive services (65+)","12001","Alachua","FL","38.599999999999994"
"2020","Health Care Access and Quality","Percent current on preventive services (65+)","12003","Baker","FL","36.7"
"2020","Health Care Access and Quality","Percent current on preventive services (65+)","12005","Bay","FL","39.05"
"2020","Health Care Access and Quality","Percent current on preventive services (65+)","12007","Bradford","FL","33.55"
"2020","Health Care Access and Quality","Percent current on preventive services (65+)","12009","Brevard","FL","35.9"
"2020","Health Care Access and Quality","Percent current on preventive services (65+)","12011","Broward","FL","31.700000000000003"
"2020","Health Care Access and Quality","Percent current on preventive services (65+)","12013","Calhoun","FL","33.1"
"2020","Health Care Access and Quality","Percent current on preventive services (65+)","12015","Charlotte","FL","45.4"
"2020","Health Care Access and Quality","Percent current on preventive services (65+)","12017","Citrus","FL","39.7"
"2020","Health Care Access and Quality","Percent current on preventive services (65+)","12019","Clay","FL","37.5"
"2020","Health Care Access and Quality","Percent current on preventive services (65+)","12021","Collier","FL","43.35"
"2020","Health Care Access and Quality","Percent current on preventive services (65+)","12023","Columbia","FL","31.25"
"2020","Health Care Access and Quality","Percent current on preventive services (65+)","12027","Desoto","FL","32.45"
"2020","Health Care Access and Quality","Percent current on preventive services (65+)","12029","Dixie","FL","32.6"
"2020","Health Care Access and Quality","Percent current on preventive services (65+)","12031","Duval","FL","42.3"
"2020","Health Care Access and Quality","Percent current on preventive services (65+)","12033","Escambia","FL","38.7"
"2020","Health Care Access and Quality","Percent current on preventive services (65+)","12035","Flagler","FL","39.5"
"2020","Health Care Access and Quality","Percent current on preventive services (65+)","12037","Franklin","FL","36.349999999999994"
"2020","Health Care Access and Quality","Percent current on preventive services (65+)","12039","Gadsden","FL","36.1"
"2020","Health Care Access and Quality","Percent current on preventive services (65+)","12041","Gilchrist","FL","33.099999999999994"
"2020","Health Care Access and Quality","Percent current on preventive services (65+)","12043","Glades","FL","32.75"
"2020","Health Care Access and Quality","Percent current on preventive services (65+)","12045","Gulf","FL","43.3"
"2020","Health Care Access and Quality","Percent current on preventive services (65+)","12047","Hamilton","FL","31.450000000000003"
"2020","Health Care Access and Quality","Percent current on preventive services (65+)","12049","Hardee","FL","31.55"
"2020","Health Care Access and Quality","Percent current on preventive services (65+)","12051","Hendry","FL","28.400000000000002"
"2020","Health Care Access and Quality","Percent current on preventive services (65+)","12053","Hernando","FL","37.9"
"2020","Health Care Access and Quality","Percent current on preventive services (65+)","12055","Highlands","FL","33.65"
"2020","Health Care Access and Quality","Percent current on preventive services (65+)","12057","Hillsborough","FL","34.3"
"2020","Health Care Access and Quality","Percent current on preventive services (65+)","12059","Holmes","FL","33.650000000000006"
"2020","Health Care Access and Quality","Percent current on preventive services (65+)","12061","Indian River","FL","37.2"
"2020","Health Care Access and Quality","Percent current on preventive services (65+)","12063","Jackson","FL","37.65"
"2020","Health Care Access and Quality","Percent current on preventive services (65+)","12065","Jefferson","FL","39.25"
"2020","Health Care Access and Quality","Percent current on preventive services (65+)","12067","Lafayette","FL","31"
"2020","Health Care Access and Quality","Percent current on preventive services (65+)","12069","Lake","FL","44.900000000000006"
"2020","Health Care Access and Quality","Percent current on preventive services (65+)","12071","Lee","FL","42.400000000000006"
"2020","Health Care Access and Quality","Percent current on preventive services (65+)","12073","Leon","FL","43.25"
"2020","Health Care Access and Quality","Percent current on preventive services (65+)","12075","Levy","FL","32.25"
"2020","Health Care Access and Quality","Percent current on preventive services (65+)","12077","Liberty","FL","36.75"
"2020","Health Care Access and Quality","Percent current on preventive services (65+)","12079","Madison","FL","32.400000000000006"
"2020","Health Care Access and Quality","Percent current on preventive services (65+)","12081","Manatee","FL","38.5"
"2020","Health Care Access and Quality","Percent current on preventive services (65+)","12083","Marion","FL","37.5"
"2020","Health Care Access and Quality","Percent current on preventive services (65+)","12085","Martin","FL","41.8"
"2020","Health Care Access and Quality","Percent current on preventive services (65+)","12086","Miami-Dade","FL","28.3"
"2020","Health Care Access and Quality","Percent current on preventive services (65+)","12087","Monroe","FL","36.2"
"2020","Health Care Access and Quality","Percent current on preventive services (65+)","12089","Nassau","FL","46.599999999999994"
"2020","Health Care Access and Quality","Percent current on preventive services (65+)","12091","Okaloosa","FL","40.1"
"2020","Health Care Access and Quality","Percent current on preventive services (65+)","12093","Okeechobee","FL","34.75"
"2020","Health Care Access and Quality","Percent current on preventive services (65+)","12095","Orange","FL","38.2"
"2020","Health Care Access and Quality","Percent current on preventive services (65+)","12097","Osceola","FL","35.6"
"2020","Health Care Access and Quality","Percent current on preventive services (65+)","12099","Palm Beach","FL","41.8"
"2020","Health Care Access and Quality","Percent current on preventive services (65+)","12101","Pasco","FL","35.75"
"2020","Health Care Access and Quality","Percent current on preventive services (65+)","12103","Pinellas","FL","42.35"
"2020","Health Care Access and Quality","Percent current on preventive services (65+)","12105","Polk","FL","37.05"
"2020","Health Care Access and Quality","Percent current on preventive services (65+)","12107","Putnam","FL","35.5"
"2020","Health Care Access and Quality","Percent current on preventive services (65+)","12109","St. Johns","FL","43.099999999999994"
"2020","Health Care Access and Quality","Percent current on preventive services (65+)","12111","St. Lucie","FL","33.3"
"2020","Health Care Access and Quality","Percent current on preventive services (65+)","12113","Santa Rosa","FL","45.3"
"2020","Health Care Access and Quality","Percent current on preventive services (65+)","12115","Sarasota","FL","42.45"
"2020","Health Care Access and Quality","Percent current on preventive services (65+)","12117","Seminole","FL","40.3"
"2020","Health Care Access and Quality","Percent current on preventive services (65+)","12119","Sumter","FL","42.8"
